Designator,Mid X,Mid Y,Rotation,Layer
C1,306.6785,-16.9875,0.0,bottom
C2,306.6785,-21.3925,0.0,bottom
C3,306.6785,-25.7975,0.0,bottom
C4,306.6785,-30.2025,0.0,bottom
C5,306.6785,-34.6075,0.0,bottom
C6,368.7225,-88.2195,0.0,bottom
D1,22.225,-23.469,90.0,bottom
D10,231.775,-23.469,90.0,bottom
D11,250.825,-23.469,90.0,bottom
D12,269.875,-23.469,90.0,bottom
D13,288.925,-23.469,90.0,bottom
D14,358.8512,-28.168,90.0,bottom
D15,22.225,-47.2815,90.0,bottom
D16,41.275,-47.2815,90.0,bottom
D17,60.325,-47.2815,90.0,bottom
D18,79.375,-47.2815,90.0,bottom
D19,98.425,-47.2815,90.0,bottom
D2,50.8,-23.469,90.0,bottom
D20,117.475,-47.2815,90.0,bottom
D21,136.525,-47.2815,90.0,bottom
D22,155.575,-47.2815,90.0,bottom
D23,174.625,-47.2815,90.0,bottom
D24,193.675,-47.2815,90.0,bottom
D25,212.725,-47.2815,90.0,bottom
D26,231.775,-47.2815,90.0,bottom
D27,250.825,-47.2815,90.0,bottom
D28,279.4,-47.2815,90.0,bottom
D29,339.8012,-47.218,90.0,bottom
D3,69.85,-23.469,90.0,bottom
D30,358.8512,-47.218,90.0,bottom
D31,377.9012,-47.218,90.0,bottom
D32,26.9875,-66.3315,90.0,bottom
D33,50.8,-66.3315,90.0,bottom
D34,69.85,-66.3315,90.0,bottom
D35,88.9,-66.3315,90.0,bottom
D36,107.95,-66.3315,90.0,bottom
D37,127.0,-66.3315,90.0,bottom
D38,146.05,-66.3315,90.0,bottom
D39,165.1,-66.3315,90.0,bottom
D4,88.9,-23.469,90.0,bottom
D40,184.15,-66.3315,90.0,bottom
D41,203.2,-66.3315,90.0,bottom
D42,222.25,-66.3315,90.0,bottom
D43,241.3,-66.3315,90.0,bottom
D44,260.35,-66.3315,90.0,bottom
D45,284.1625,-66.3315,90.0,bottom
D46,358.8512,-66.268,90.0,bottom
D47,29.3688,-85.3815,90.0,bottom
D48,55.5625,-85.3815,90.0,bottom
D49,74.6125,-85.3815,90.0,bottom
D5,107.95,-23.469,90.0,bottom
D50,93.6625,-85.3815,90.0,bottom
D51,112.7125,-85.3815,90.0,bottom
D52,131.7625,-85.3815,90.0,bottom
D53,150.8125,-85.3815,90.0,bottom
D54,169.8625,-85.3815,90.0,bottom
D55,188.9125,-85.3815,90.0,bottom
D56,207.9625,-85.3815,90.0,bottom
D57,227.0125,-85.3815,90.0,bottom
D58,246.0625,-85.3815,90.0,bottom
D59,277.0188,-85.3815,90.0,bottom
D6,141.2875,-23.469,90.0,bottom
D60,34.1313,-104.4315,90.0,bottom
D61,65.0875,-104.4315,90.0,bottom
D62,84.1375,-104.4315,90.0,bottom
